4334,-0.01,0.05,0.05,-0.075,0.1,0.0,-0.032,-0.218,,-0.113,-0.167,,0.056,-0.224,,-0.109,-0.224,,-0.11,-0.182,
4336,-0.17,,-0.08,0.015,,-0.05,-0.098,,,-0.024,,,-0.167,,,0.113,,,-0.04,,
4342,-0.16,0.38,-0.03,-0.235,0.09,-0.04,-0.029,0.665,,-0.162,0.075,,-0.012,-0.171,,-0.046,0.36,,-0.025,0.684,
4343,0.41,0.59,-0.04,0.265,-0.05,-0.03,0.58,0.658,,0.59,0.712,,0.41,0.768,,0.659,0.648,,0.599,0.634,
4348,-0.48,,0.01,-0.04,,0.0,-0.204,-0.518,,-0.279,-0.363,,-0.468,-0.099,,-0.032,-0.613,,-0.446,-0.82,
4354,0.61,0.16,,0.655,0.22,,0.676,0.1,,0.655,-0.091,,0.517,0.188,,0.674,-0.108,,0.691,0.158,
4364,2.42,,0.06,2.32,,0.08,2.409,,,2.569,,,2.378,,,2.557,,,2.484,,
4379,0.36,,0.04,0.27,,0.01,0.541,,,0.335,,,0.238,,,0.523,,,0.615,,
4380,0.25,0.84,0.03,0.38,0.13,0.02,0.212,0.483,,0.192,0.463,,0.266,0.502,,0.208,0.524,,0.218,0.445,
4382,-0.16,0.11,0.02,-0.155,-0.42,0.0,-0.404,0.101,,-0.296,0.181,,-0.185,0.091,,-0.204,0.129,,-0.427,0.059,
4384,-0.11,-0.25,0.02,-0.245,-0.2,0.01,-0.16,-0.461,,-0.215,-0.376,,-0.145,-0.221,,-0.152,-0.297,,-0.182,-0.49,
4394,0.33,,-0.29,0.345,,-0.19,0.217,,,0.128,,,0.245,,,0.343,,,0.133,,
4395,1.43,1.98,-0.05,1.535,1.62,0.03,1.47,2.136,,1.495,1.931,,1.437,1.883,,1.494,1.97,,1.481,2.131,
4397,-0.09,,0.03,0.135,,-0.03,0.069,,,0.05,,,0.066,,,0.031,,,0.078,,
4401,-0.34,-0.69,0.03,-0.22,-0.31,-0.02,-0.337,-0.914,,-0.442,-0.93,,-0.215,-1.078,,-0.272,-0.94,,-0.401,-0.809,
4402,0.19,,0.05,0.215,,0.0,0.298,,,0.257,,,0.201,,,0.308,,,0.297,,
4405,-0.22,0.12,-0.04,-0.195,-0.18,-0.01,-0.124,0.152,,-0.09,0.233,,-0.295,-0.005,,-0.077,0.152,,-0.129,0.149,
4424,2.17,,,2.08,,,2.233,,,2.342,,,2.193,,,2.333,,,2.252,,
4430,-0.48,,-0.03,0.035,,-0.03,-0.465,,,-0.568,,,-0.164,,,-0.288,,,-0.496,,
4434,0.28,,0.04,0.21,,0.0,0.398,,,0.322,,,0.364,,,0.406,,,0.365,,
4437,-0.24,0.58,-0.01,-0.025,-0.48,-0.04,-0.201,0.258,,-0.283,0.194,,-0.303,0.053,,-0.224,0.086,,-0.182,0.244,
4455,-0.41,0.99,-0.03,-0.165,0.11,-0.04,-0.382,0.618,,-0.304,0.549,,0.05,0.52,,-0.277,0.565,,-0.325,0.641,
4519,-0.31,0.12,-0.03,-0.17,-0.77,-0.04,-0.272,-0.024,,-0.272,-0.049,,-0.282,0.037,,-0.231,-0.124,,-0.223,-0.043,
4526,-0.01,,,-0.08,,,-0.107,,,-0.11,,,-0.256,,,-0.029,,,-0.069,,
4562,-0.1,,-0.05,-0.31,,-0.06,0.041,,,0.043,,,0.001,,,0.072,,,0.043,,
4572,1.69,-0.04,-0.02,1.775,0.17,-0.08,1.697,-0.073,,1.668,0.151,,1.564,0.105,,1.679,0.28,,1.661,0.071,
4574,0.43,2.58,0.1,0.345,1.85,0.1,0.398,2.514,,0.395,2.478,,0.294,2.543,,0.36,2.421,,0.38,2.525,
4577,-0.22,-0.11,-0.03,-0.185,-0.15,-0.07,-0.165,0.41,,-0.229,0.195,,-0.371,0.66,,-0.199,0.171,,-0.159,0.444,
4590,0.05,,-0.04,0.175,,0.0,0.371,,,0.162,,,0.169,,,0.274,,,0.378,,
4593,0.25,,-0.03,-0.315,,0.0,0.079,,,-0.049,,,-0.181,,,0.049,,,0.004,,
4599,0.29,0.54,-0.17,-0.015,0.03,-0.12,0.196,0.952,,0.206,0.995,,0.284,0.8,,0.257,1.127,,0.231,0.888,
4619,1.91,,-0.01,1.985,,0.0,1.723,,,1.856,,,1.998,,,1.878,,,1.674,,
4620,0.34,,0.04,0.21,,0.0,0.618,,,0.296,,,0.228,,,0.473,,,0.602,,
4622,-0.11,,0.04,0.115,,-0.02,-0.59,,,-0.634,,,-0.646,,,-0.487,,,-0.556,,
4641,0.02,-0.04,0.04,-0.035,0.04,-0.02,0.105,0.243,,0.053,0.05,,0.216,0.028,,0.079,0.146,,0.092,0.262,
4648,0.33,,0.02,0.13,,0.06,0.262,,,0.236,,,-0.205,,,0.304,,,0.263,,
4649,-0.08,-1.06,0.04,-0.14,-1.2,-0.03,-0.313,-1.122,,-0.262,-1.007,,-0.199,-1.264,,-0.266,-1.083,,-0.225,-1.221,
4674,-0.4,,-0.23,-0.27,,-0.14,-0.562,,,-0.572,,,-0.648,,,-0.501,,,-0.573,,
4675,-0.09,-0.04,0.04,-0.185,0.24,-0.07,-0.041,-0.007,,-0.075,-0.038,,-0.079,-0.054,,-0.033,-0.046,,0.05,-0.031,
4679,-0.05,0.21,-0.06,-0.01,0.13,-0.03,-0.002,0.595,,0.014,0.513,,-0.093,0.536,,-0.006,0.679,,-0.001,0.538,
4704,-0.28,,,-0.04,,,-0.104,,,-0.14,,,0.055,,,-0.082,,,-0.083,,
4706,0.05,,0.01,0.01,,-0.02,0.144,,,0.068,,,0.096,,,0.256,,,0.116,,
